Materiál;Oznaèení;Sklad;Volnì použitel.;Množství ATP;Akt. VC (PR00);Aktuální DMOC;VKP0 MO;Kategorie RP;Skl.místo;Znaèka;Skup.mater.;Kód EAN/UPC;Oznaèení;Platí od;St.mat.zHleïOdb;VýmìnMod;Úroveò sort.;Relev.B2B;Jazyk;Závod;Servis 1;Servis 3;Prodej do;Mìna podmínky;Servis 2;Tøída ocenìní;Garant CZ;Garant SK
41015409;DEEBOT X1 OMNI ROBOTICKÝ VYSAVAÈ ECOVACS;0;2;1;41321;49999;39999;AN5.1.   (16,4);0001:1B403-0603;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015409;DEEBOT X1 OMNI ROBOTICKÝ VYSAVAÈ ECOVACS;1;2;1;41321;49999;39999;AN5.1.   (16,4);1B403-0603;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015541;DEEBOT T10 TURBO ROBOT. VYSAVAÈ  ECOVACS;0;117;117;31404;37999;29999;AN5.1.   (16,4);0001:1B403-0501;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;WW;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015541;DEEBOT T10 TURBO ROBOT. VYSAVAÈ  ECOVACS;1;117;117;31404;37999;29999;AN5.1.   (16,4);1B403-0501;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;WW;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015546;DEEBOT N8 PRO+ ROBOTICKÝ VYSAVAÈ ECOVACS;0;173;27;19007;22999;17999;AN5.1.   (16,4);0001:1B403-0601;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;D;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015546;DEEBOT N8 PRO+ ROBOTICKÝ VYSAVAÈ ECOVACS;1;173;27;19007;22999;17999;AN5.1.   (16,4);1B403-0601;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;D;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015548;DEEBOT N8 BLACK ROBOT. VYSAVAÈ   ECOVACS;0;243;183;12396;14999;9999;AN5.1.   (16,4);0001:1B403-0703;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;WW;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015548;DEEBOT N8 BLACK ROBOT. VYSAVAÈ   ECOVACS;1;243;183;12396;14999;9999;AN5.1.   (16,4);1B403-0703;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;WW;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015549;WINBOT W1 PRO ROBOT ÈIŠTÌNÍ OKEN ECOVACS;0;57;53;14049;16999;11999;AN5.3.   (3,69);0001:1B403-0903;ECOVACS;41VYCORC;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015549;WINBOT W1 PRO ROBOT ÈIŠTÌNÍ OKEN ECOVACS;1;57;53;14049;16999;11999;AN5.3.   (3,69);1B403-0903;ECOVACS;41VYCORC;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015552;D-KT01-0022 SERVISNÍ SADA T10    ECOVACS;0;148;148;1652;1999;1499;BEZ POPLATKU;0001:1B403-0604;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;1;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015552;D-KT01-0022 SERVISNÍ SADA T10    ECOVACS;1;148;148;1652;1999;1499;BEZ POPLATKU;1B403-0604;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;1;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015556;D-WP04-0006 OMYVAT. MOP PODLOŽKY ECOVACS;0;96;96;1074;1299;799;BEZ POPLATKU;0001:1B404-0113;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
